Orgname,placeInfo,logicaldevicecode,ReportDate,Category,Current BATCC,Previous BATCC,Current Actual Cost,Previous Actual Cost,Current CA,Previous CA,BeginDate,EnergyProgram,SalesDocName,PlaceId,invoiceitemid,invoiceitemname
Fresno USD-CA,Roosevelt HS (SOLAR),CE_1317635817,2025-09-01T00:00:00,New,0,0,0,0,0,0,2025-08-16T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,1d252a1c-83d1-472d-b053-b7d5032e6b4d,a0wUi000003MzazIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-09-01
Fresno USD-CA,Lane ES,COF_240589-163196-WS,2025-10-01T00:00:00,New,56.5934,0,53,0,3.68,0,2025-09-29T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,6c32ef16-c7ef-4b33-a827-401180a12a8b,a0wUi000003MzcbIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-10-01
Fresno USD-CA,Computech MS,COF_86413-84862-WS,2025-11-01T00:00:00,New,945.8476,0,605,0,340.58,0,2025-10-15T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,20ad0604-eacb-4510-bb18-8766c29d0bba,a0wUi000003MzeDIAS,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-11-01
Fresno USD-CA,Lawless ES (SOLAR),PGE_1738471882_PVGrid,2025-12-01T00:00:00,New,13686.4525,0,12534,0,1151.99,0,2025-11-19T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,9cf7e955-162f-4679-af4d-7733c0b33c58,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Birney ES (SOLAR),PGE_7979526753,2025-12-01T00:00:00,New,4586.1259,0,1382,0,3203.73,0,2025-12-03T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,81d6b29d-1c89-48ca-b725-b8785f2a04a6,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Fort Miller MS,PGE_9089636101,2025-12-01T00:00:00,New,11309.9275,0,11934,0,-624.02,0,2025-11-19T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,c98fa0d8-3819-40da-8152-54e974beeec2,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Lincoln ES (SOLAR),COF_26657-26118-IR,2025-12-01T00:00:00,New,225.2062,0,107,0,118.37,0,2025-11-17T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,c1d01663-cdbf-4f4c-917b-0ce097a01481,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Sunnyside HS (SOLAR),COF_346661-316756-WS,2025-12-01T00:00:00,New,0,0,0,0,0,0,2025-11-26T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,e9985868-7412-4221-a46d-46b928c8f43d,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Prevention and Intervention (Arts Education Gallery),PGE_9089636781,2025-12-01T00:00:00,New,2253.6472,0,726,0,1528.05,0,2025-11-19T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,830603bd-03c8-40ec-8e73-a16f5acb682a,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Easterby ES,PGE_1731247993,2025-12-01T00:00:00,New,11850.3561,0,9301,0,2549.09,0,2025-11-19T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,1464bd9f-86cb-4124-9cfc-0fa9a4931020,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Education Center,PGE_9082606532,2025-12-01T00:00:00,New,22750.9716,0,25128,0,-2377.08,0,2025-11-19T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,994f2b60-9662-45d7-afc2-7f1ae0cee691,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Rowell ES (SOLAR),PGE_3787057062,2025-12-01T00:00:00,New,1700.9539,0,785,0,915.73,0,2025-11-14T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,ea48f70a-5e20-4d81-b996-cec6d01f3576,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Sequoia MS (SOLAR),COF_139955-137374-WS,2025-12-01T00:00:00,New,0,0,0,0,0,0,2025-11-26T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,13085edd-c316-4eb3-af5d-a631c3c2af4b,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Viking ES,COF_146419-143692-W,2025-12-01T00:00:00,New,0,0,0,0,0,0,2025-11-24T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,2c2613ef-6aac-4f3a-b13a-467a998b4d51,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Heaton ES,COF_65153-63960-WS,2025-12-01T00:00:00,New,0,0,0,0,0,0,2025-11-24T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,1458d968-d268-4ca5-920c-7083f1e81183,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Tatarian ES,COF_206797-203090-WS,2025-12-01T00:00:00,New,0,0,0,0,0,0,2025-11-24T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,d497b5cf-0177-40aa-a8d0-f07bb7578fb7,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Parent University - OLD/CLOSED,Z_PGE_9089636184,2025-12-01T00:00:00,New,0,0,0,0,0,0,2025-11-20T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,42af8acf-deae-4ec2-9692-035677e01997,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Roosevelt HS (SOLAR),CE_1317635817,2025-01-01T00:00:00,New,12042.03,0,12042,0,0,0,2024-12-13T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,1d252a1c-83d1-472d-b053-b7d5032e6b4d,a0wUi000003MzO5IAK,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-01-01
Fresno USD-CA,Centennial ES,COF_132847-130408-W,2025-10-01T00:00:00,New,3257.4706,0,4151,0,-893.57,0,2025-09-23T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,f6159dd2-a59e-4211-8035-c6569096e28f,a0wUi000003MzcbIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-10-01
Fresno USD-CA,Burroughs ES (SOLAR),COF_5055-4914-W,2025-12-01T00:00:00,New,0,0,0,0,0,0,2025-11-26T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,9fb38a62-0d68-4ec5-8de6-b07cecfc2968,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Sunnyside HS (SOLAR),PGE_9669979412,2025-12-01T00:00:00,New,19361.9744,0,29247,0,-9884.88,0,2025-11-18T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,e9985868-7412-4221-a46d-46b928c8f43d,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,McCardle ES,COF_23359-22868-WS,2025-12-01T00:00:00,New,0,0,0,0,0,0,2025-11-24T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,03bafd9c-7aa8-4896-b01b-55aa442a9699,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Tioga MS,PGE_9089636924,2025-12-01T00:00:00,New,13510.522,0,15906,0,-2395.93,0,2025-11-19T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,1aa01501-2fbb-48ea-9985-da4a747e673e,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Bullard HS,COF_185469-182008-IR,2025-12-01T00:00:00,New,3087.9064,0,1814,0,1274.16,0,2025-11-07T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,f98542d9-8990-4380-81eb-921fd409289f,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Starr ES,COF_74543-73194-WS,2025-12-01T00:00:00,New,-1986.8357,0,152,0,-2139.18,0,2025-11-24T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,97727af4-521d-49c4-bd16-f151416b9be0,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Norseman ES,PGE_1310513228,2025-12-01T00:00:00,New,9952.2988,0,10062,0,-110.06,0,2025-11-19T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,1c7b2a7e-1ee2-4fc1-9d40-89b48e745c45,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Hoover HS (SOLAR),COF_187639-184156-W,2025-12-01T00:00:00,New,0,0,0,0,0,0,2025-11-24T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,9e46eed9-8010-4ad0-9692-ee2d56afe5ed,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Manchester Gate ES,PGE_9089636181,2025-12-01T00:00:00,New,5769.3369,0,9193,0,-3424.09,0,2025-11-19T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,6f2b1ef2-2cd3-4f9d-98b6-2bb87abac993,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Sunset ES,COF_73963-72622-WS,2025-12-01T00:00:00,New,190.3305,0,302,0,-111.18,0,2025-11-17T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,555794dc-eab7-4416-8ebb-fff51eea90d7,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Manchester Gate ES,COF_87981-86382-WS,2025-12-01T00:00:00,New,341.0526,0,386,0,-45.43,0,2025-11-26T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,6f2b1ef2-2cd3-4f9d-98b6-2bb87abac993,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Heaton ES,PGE_2624621907,2025-12-01T00:00:00,New,410.7835,0,453,0,-41.91,0,2025-11-19T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,1458d968-d268-4ca5-920c-7083f1e81183,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Calwa ES,PGE_2415636042,2025-12-01T00:00:00,New,1370.4261,0,2988,0,-1617.85,0,2025-11-22T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,27cf6ad6-7569-4de8-a2de-7aaf8d549b46,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Ahwahnee MS (SOLAR),PGE_9087807840_PVGrid,2025-12-01T00:00:00,New,15835.1367,0,15551,0,284.49,0,2025-11-19T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,64e64ad3-c9e1-4057-a748-4a9da52f797f,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Mayfair ES,PGE_9088746951,2025-12-01T00:00:00,New,10214.862,0,10215,0,0,0,2025-11-19T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,711b24b2-51af-4206-9a44-5c45b0d129a8,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Webster ES,PGE_3156576380,2025-05-01T00:00:00,New,385.9822,0,0,0,385.98,0,2025-04-28T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,c3b24ecf-9dec-4fcd-bc0f-f39d7d119b24,a0wUi000003MzUXIA0,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-05-01
Fresno USD-CA,Roosevelt HS (SOLAR),CE_1317635817,2025-06-01T00:00:00,New,0,0,0,0,0,0,2025-05-16T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,1d252a1c-83d1-472d-b053-b7d5032e6b4d,a0wUi000003MzW9IAK,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-06-01
Fresno USD-CA,Roosevelt HS (SOLAR),FFP_CA-15-0905,2025-10-01T00:00:00,New,8670.165,0,8841,0,-170.89,0,2025-09-30T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,1d252a1c-83d1-472d-b053-b7d5032e6b4d,a0wUi000003MzcbIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-10-01
